Country,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,0.00,0.00,0.11,1.22,2.11,1.90,1.84,3.55,4.00,5.00,5.45,5.90,7.00,8.26,,,,
Albania,0.11,0.33,0.39,2.42,6.04,9.61,15.04,23.86,41.20,45.00,47.00,49.40,51.80,54.30,56.90,59.60,62.40,65.40,68.55
Algeria,0.49,0.65,1.59,4.63,5.84,7.38,9.45,10.18,11.23,12.50,14.90,18.20,22.50,29.50,38.20,42.95,47.69,49.04,57.50
Andorra,10.54,,11.26,26.84,37.61,48.94,70.87,70.04,78.53,81.00,81.00,,,,,,91.57,,
Angola,0.11,0.14,0.27,0.46,1.14,1.50,1.70,1.90,2.30,2.80,3.10,6.50,8.90,21.40,29.00,29.00,32.00,35.00,36.00
Anguilla,22.41,25.88,24.80,25.04,29.00,36.00,41.00,44.00,48.00,49.60,53.64,59.21,64.80,70.39,75.98,81.57,,,
Antigua and Barbuda,6.48,8.90,12.50,24.27,27.00,30.00,34.00,38.00,42.00,47.00,52.00,58.00,63.40,67.78,70.00,73.00,,,
Argentina,7.04,9.78,10.88,16.04,17.72,20.93,25.95,28.11,34.00,45.00,51.00,55.80,59.90,64.70,68.04,70.97,74.29,,
Armenia,1.30,1.63,1.96,4.90,5.25,5.63,6.02,6.21,15.30,25.00,32.00,37.50,41.90,54.62,59.10,64.35,64.74,68.25,66.54
Aruba,15.44,17.10,18.80,23.00,25.40,28.00,30.90,52.00,58.00,62.00,69.00,74.00,78.90,83.78,88.66,93.54,97.17,,
Ascension,34.94,38.17,,,,,33.00,33.00,33.00,35.00,36.00,41.03,,,,,,,
Australia,46.76,52.69,,,63.00,66.00,69.45,71.67,74.25,76.00,79.49,79.00,83.45,84.00,84.56,86.54,86.55,,
Austria,33.73,39.19,36.56,54.28,58.00,63.60,69.37,72.87,73.45,75.17,78.74,80.03,80.62,81.00,83.94,84.32,87.94,87.48,87.75
Azerbaijan,0.15,0.31,5.00,,8.03,11.99,14.54,17.08,27.40,46.00,50.00,54.20,73.00,75.00,77.00,78.20,79.00,79.80,81.10
Bahamas,8.00,11.80,18.00,22.00,25.00,26.00,27.00,31.54,33.88,43.00,65.00,71.75,72.00,76.92,78.00,80.00,85.00,,
Bahrain,6.15,15.04,18.05,21.46,21.30,28.24,32.91,51.95,53.00,55.00,77.00,88.00,90.00,90.50,93.48,98.00,95.88,98.64,99.70
Bangladesh,0.07,0.13,0.14,0.20,0.24,1.00,1.80,2.50,3.10,3.70,4.50,5.00,6.63,7.40,8.30,9.20,10.30,11.50,12.90
Barbados,3.97,11.94,27.84,49.80,52.50,55.30,58.20,61.40,64.70,65.10,66.50,71.20,71.80,75.16,76.11,79.55,81.76,,
Belarus,1.86,4.30,8.95,,,16.20,19.70,23.00,27.43,31.80,39.65,46.91,54.17,59.02,62.23,71.11,74.44,79.13,82.79
Belgium,29.43,31.29,46.33,53.86,55.82,59.72,64.44,66.00,70.00,75.00,81.61,80.72,82.17,85.00,85.05,86.52,87.68,88.65,90.28
Belize,5.96,,5.68,9.80,17.00,24.00,24.60,26.30,27.20,28.20,30.70,31.00,33.60,38.70,41.59,44.58,47.08,,
Benin,0.23,0.36,0.70,1.18,1.27,1.54,1.79,1.85,2.24,3.13,4.15,4.50,4.90,6.00,11.25,11.99,13.30,26.00,29.00
Bermuda,42.95,47.51,52.03,60.99,65.45,69.90,74.35,82.30,83.25,84.21,88.34,91.30,95.30,96.80,98.32,98.00,98.37,,
Bhutan,0.40,0.86,1.68,3.16,3.85,4.52,5.92,6.55,7.17,13.60,14.40,15.60,22.40,30.30,39.80,41.77,,,
Bolivia (Plurinational State of),1.44,2.12,3.12,4.44,5.23,6.20,10.50,12.50,16.80,22.40,30.00,35.34,36.99,34.60,37.49,39.70,43.83,44.29,47.47
Bosnia and Herzegovina,1.08,1.20,2.65,15.47,21.33,25.12,27.92,34.66,37.74,42.75,43.89,45.06,48.52,49.92,52.60,60.26,64.89,70.12,69.95
Botswana,2.90,3.43,3.39,3.30,3.26,4.29,5.28,6.25,6.15,6.00,9.00,16.00,30.00,36.74,37.31,39.36,41.41,58.00,61.00
